Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-05-16T08:09:17.930;674467751894086333;-939;-440;-97
2021-05-16T08:09:17.970;674467751933674336;-941;-433;-104
2021-05-16T08:09:18.009;674467751973262339;-943;-428;-109
2021-05-16T08:09:18.049;674467752012850342;-949;-419;-115
2021-05-16T08:09:18.089;674467752052438345;-959;-409;-118
2021-05-16T08:09:18.128;674467752092026348;-966;-390;-121
2021-05-16T08:09:18.168;674467752131606204;-969;-365;-128
2021-05-16T08:09:18.207;674467752171186042;-976;-346;-132
2021-05-16T08:09:18.247;674467752210765880;-984;-324;-136
2021-05-16T08:09:18.286;674467752250345718;-987;-295;-132
2021-05-16T08:09:18.326;674467752289925556;-984;-261;-133
2021-05-16T08:09:18.366;674467752329505394;-979;-218;-136
2021-05-16T08:09:18.405;674467752369085232;-977;-147;-139
2021-05-16T08:09:18.445;674467752408665070;-980;-53;-146
2021-05-16T08:09:18.484;674467752448244908;-987;24;-148
2021-05-16T08:09:18.524;674467752487824746;-1009;80;-151
2021-05-16T08:09:18.564;674467752527404584;-1042;135;-150
2021-05-16T08:09:18.603;674467752566984422;-1042;194;-139
2021-05-16T08:09:18.643;674467752606564260;-987;263;-138
2021-05-16T08:09:18.682;674467752646144098;-928;346;-149
2021-05-16T08:09:18.722;674467752685723936;-909;415;-155
2021-05-16T08:09:18.761;674467752725303774;-911;446;-151
2021-05-16T08:09:18.801;674467752764883612;-907;456;-137
2021-05-16T08:09:18.841;674467752804463450;-903;473;-137
2021-05-16T08:09:18.880;674467752844043288;-915;499;-157
2021-05-16T08:09:18.920;674467752883623126;-929;515;-162
2021-05-16T08:09:18.959;674467752923202964;-936;521;-142
2021-05-16T08:09:18.999;674467752962782802;-941;527;-126
2021-05-16T08:09:19.038;674467753002362640;-940;524;-115
2021-05-16T08:09:19.078;674467753041942478;-934;516;-104
2021-05-16T08:09:19.118;674467753081522316;-931;506;-89
2021-05-16T08:09:19.157;674467753121102154;-932;500;-76
2021-05-16T08:09:19.197;674467753160681992;-929;491;-66
2021-05-16T08:09:19.236;674467753200261830;-927;481;-55
2021-05-16T08:09:19.276;674467753239841668;-929;474;-49
2021-05-16T08:09:19.316;674467753279421506;-933;463;-48
2021-05-16T08:09:19.355;674467753319001344;-938;450;-48
2021-05-16T08:09:19.395;674467753358581182;-941;438;-50
2021-05-16T08:09:19.434;674467753398161020;-949;427;-53
2021-05-16T08:09:19.474;674467753437740858;-959;415;-58
2021-05-16T08:09:19.513;674467753477320696;-969;393;-71
2021-05-16T08:09:19.553;674467753516900534;-979;374;-81
2021-05-16T08:09:19.593;674467753556468669;-985;348;-89
2021-05-16T08:09:19.632;674467753596036772;-991;320;-97
2021-05-16T08:09:19.672;674467753635604875;-993;286;-103
2021-05-16T08:09:19.711;674467753675172978;-995;238;-113
2021-05-16T08:09:19.751;674467753714741081;-1002;200;-125
2021-05-16T08:09:19.790;674467753754309184;-1004;162;-134
2021-05-16T08:09:19.830;674467753793877287;-1003;120;-139
2021-05-16T08:09:19.870;674467753833445390;-1001;82;-136
2021-05-16T08:09:19.909;674467753873013493;-997;41;-129
2021-05-16T08:09:19.949;674467753912581596;-995;-1;-131
2021-05-16T08:09:19.988;674467753952149699;-995;-44;-125
2021-05-16T08:09:20.028;674467753991717802;-999;-86;-117
2021-05-16T08:09:20.067;674467754031285905;-1008;-130;-117
2021-05-16T08:09:20.107;674467754070854008;-1006;-183;-122
2021-05-16T08:09:20.147;674467754110422111;-994;-235;-132
2021-05-16T08:09:20.186;674467754149990214;-979;-284;-133
2021-05-16T08:09:20.226;674467754189558317;-959;-327;-132
2021-05-16T08:09:20.265;674467754229126420;-948;-341;-135
2021-05-16T08:09:20.305;674467754268694523;-945;-347;-134
2021-05-16T08:09:20.344;674467754308262626;-942;-365;-139
2021-05-16T08:09:20.384;674467754347830729;-944;-383;-146
2021-05-16T08:09:20.424;674467754387398832;-950;-397;-150
2021-05-16T08:09:20.463;674467754426966935;-952;-408;-144
2021-05-16T08:09:20.503;674467754466535038;-950;-422;-136
2021-05-16T08:09:20.542;674467754506103141;-946;-435;-129
2021-05-16T08:09:20.582;674467754545671244;-942;-442;-121
2021-05-16T08:09:20.621;674467754585239347;-939;-441;-118
2021-05-16T08:09:20.661;674467754624807450;-937;-440;-115
2021-05-16T08:09:20.700;674467754664375553;-935;-443;-112
2021-05-16T08:09:20.740;674467754703943656;-931;-442;-108
2021-05-16T08:09:20.780;674467754743511759;-931;-434;-101
2021-05-16T08:09:20.819;674467754783079862;-935;-426;-89
2021-05-16T08:09:20.859;674467754822647965;-938;-419;-79
2021-05-16T08:09:20.898;674467754862216068;-943;-410;-72
2021-05-16T08:09:20.938;674467754901784171;-948;-400;-70
2021-05-16T08:09:20.977;674467754941352274;-954;-389;-72
2021-05-16T08:09:21.017;674467754980921036;-958;-371;-75
2021-05-16T08:09:21.057;674467755020489764;-960;-349;-82
2021-05-16T08:09:21.096;674467755060058492;-961;-325;-93
2021-05-16T08:09:21.136;674467755099627220;-965;-300;-101
2021-05-16T08:09:21.175;674467755139195948;-974;-279;-107
2021-05-16T08:09:21.215;674467755178764676;-978;-258;-110
2021-05-16T08:09:21.254;674467755218333404;-982;-220;-117
2021-05-16T08:09:21.294;674467755257902132;-988;-172;-121
2021-05-16T08:09:21.334;674467755297470860;-991;-130;-122
2021-05-16T08:09:21.373;674467755337039588;-993;-83;-125
2021-05-16T08:09:21.413;674467755376608316;-999;-33;-125
2021-05-16T08:09:21.452;674467755416177044;-1016;17;-129
2021-05-16T08:09:21.492;674467755455745772;-1039;61;-141
2021-05-16T08:09:21.531;674467755495314500;-1058;102;-149
2021-05-16T08:09:21.571;674467755534883228;-1060;151;-159
2021-05-16T08:09:21.611;674467755574451956;-1038;204;-162
2021-05-16T08:09:21.650;674467755614020684;-1007;265;-163
2021-05-16T08:09:21.690;674467755653589412;-980;309;-167
2021-05-16T08:09:21.729;674467755693158140;-965;329;-168
2021-05-16T08:09:21.769;674467755732726868;-956;344;-165
2021-05-16T08:09:21.808;674467755772295596;-950;362;-156
2021-05-16T08:09:21.848;674467755811864324;-954;388;-147
2021-05-16T08:09:21.888;674467755851433052;-961;410;-136
2021-05-16T08:09:21.927;674467755891001780;-969;424;-123
2021-05-16T08:09:21.967;674467755930570508;-973;437;-98
2021-05-16T08:09:22.006;674467755970139236;-964;447;-74
2021-05-16T08:09:22.046;674467756009707964;-952;452;-64
2021-05-16T08:09:22.085;674467756049276692;-946;458;-53
2021-05-16T08:09:22.125;674467756088845420;-945;462;-35
2021-05-16T08:09:22.165;674467756128414148;-943;465;-22
2021-05-16T08:09:22.204;674467756167982876;-941;466;-13
2021-05-16T08:09:22.244;674467756207551604;-942;466;-3
2021-05-16T08:09:22.283;674467756247120332;-943;466;6
2021-05-16T08:09:22.323;674467756286689060;-940;464;17
2021-05-16T08:09:22.362;674467756326257788;-936;463;25
2021-05-16T08:09:22.402;674467756365826516;-939;457;26
2021-05-16T08:09:22.441;674467756405387774;-944;450;21
2021-05-16T08:09:22.481;674467756444949006;-946;444;16
2021-05-16T08:09:22.521;674467756484510238;-947;439;13
2021-05-16T08:09:22.560;674467756524071470;-953;438;5
2021-05-16T08:09:22.600;674467756563632702;-959;430;-3
2021-05-16T08:09:22.639;674467756603193934;-967;417;-10
2021-05-16T08:09:22.679;674467756642755166;-975;402;-15
2021-05-16T08:09:22.718;674467756682316398;-976;386;-16
2021-05-16T08:09:22.758;674467756721877630;-979;374;-24
2021-05-16T08:09:22.798;674467756761438862;-985;365;-39
2021-05-16T08:09:22.837;674467756801000094;-992;350;-56
2021-05-16T08:09:22.877;674467756840561326;-1002;327;-70
2021-05-16T08:09:22.916;674467756880122558;-1004;308;-80
2021-05-16T08:09:22.956;674467756919683790;-996;271;-84
